Author(s),Title,Year,Subject
Manuel Seitenbecher,"Mahler, Maschke & Co.",2013,Social & cultural history
Juliane Tomann; Jacqueline Nießer (Authors); Jacqueline Nießer; Juliane Tomann (Editors),Angewandte Geschichte,2014,History: theory & methods
Johannes Laas,Das geistliche Chorwerk Max Baumanns,2013,Sacred & religious music
Klaus Malettke,Richelieu,2018,"Biography: historical, political & military"
Angela Siebold,ZwischenGrenzen,2013,European history
Judith Schepers,Streitbare Brüder,2016,Christianity
Monika Fink-Lang,Joseph Görres,2013,"Biography: historical, political & military"
Barbara Otto; Friedrich Schlegel (Authors); Barbara Otto (Volume Editor),Die Anfänge in Wien bis zum Ende des Jahres 1810,,Literary studies: general
Lars Lüdicke,Constantin von Neurath,2014,European history
Sabine Krause,Erinnern und Tradieren,2014,Museums & museology
Karl R. Kegler; Karl. R. Kegler,Deutsche Raumplanung,2015,History of architecture
August Wilhelm Schlegel (Author); Stefan Knödler (Volume Editor),Vorlesungen über dramatische Kunst und Literatur (1809–1811),2018,Literary studies: c 1800 to c 1900
August Wilhelm Schlegel (Author); Georg Braungart; Sabine Gruber; Edith Höltenschmidt (Editors),Bonner Vorlesungen I,,Literary studies: general
Carolin Retzlaff,»Won't the law give me my freedom?«,2014,Slavery & abolition of slavery
Judith Wolf; Martin Dabrowski; Karlies Abmeier (Editors),Ethische Herausforderungen im Web 2.0,2014,Ethics & moral philosophy
Philipp Osten,Das Tor zur Seele,2015,History of science
Michael Jonas; Ulrich Lappenküper; Oliver von Wrochem (Editors),Dynamiken der Gewalt,2015,Violence in society
Florian Bruckmann,in IHM erkannt: Gott und Mensch,2014,Christianity
Alfred Schäfer,Selbst-Spiegelungen am Anderen,2014,Sociology
Peter Keller,»Die Wehrmacht der Deutschen Republik ist die Reichswehr«,2014,Military history
Matthias Kirchner,Hochschulreform und Studentenrevolte in Italien 1958–1974,2015,History of education
Sabine Seichter; Dominik Krinninger; Daniel Burghardt (Editors),Pädagogischer Takt,2015,Educational psychology
Pierre-Frédéric Weber,Timor Teutonorum,2015,Psychology: emotions
"Constantin Rieske; Lucas Haasis, M.A. (Editors)",Historische Praxeologie,2015,History: theory & methods
Heike Bungert,Festkultur und Gedächtnis,2016,Ethnic minorities & multicultural studies
Esther Meier,Breschnews Boomtown,2016,European history
Johannes Bähr,Thyssen in der Adenauerzeit,2015,History of specific companies / corporate history
Richard Faber; Achim Lichtenberger (Authors); Richard Faber; Achim Lichtenberger (Editors),Ein pluriverses Universum,2015,Social & cultural history
Maria Becker; Jan-Markus Kötter,Chronik - Laterculus regum Vandalorum et Alanorum,2016,Classical history / classical civilisation
Reinhold Boschki; Josef Wohlmuth (Editors),Nostra Aetate 4,2015,Interfaith relations
