Author(s),Title,Year,Subject
Luis Alejandro Salas,Cutting Words - Polemical Dimensions of Galen's Anatomical Experiments,2021,Classical history / classical civilisation
Amanda Wangwright,The Golden Key: Modern Women Artists and Gender Negotiations in Republican China (1911-1949),2021,History of art & design styles: from c 1900 -
Ralph W. Hood; Ralph W. Hood; Sariya Cheruvallil-Contractor; Sariya Cheruvallil-Contractor (Editors),"Research in the Social Scientific Study of Religion, Volume 31",2021,Religion & beliefs
Peter Beilharz,Circling Marx: Essays 1980-2020,2021,Marxism & Communism
Brent Bradford (Volume Editor),The Doctoral Journey,2021,Education
Anna-Leena Toivanen,Mobilities and Cosmopolitanisms in African and Afrodiasporic Literatures,2021,Literary studies: post-colonial literature
Tova Ganzel; Shalom E. Holtz (Editors),Contextualizing Jewish Temples,2021,Judaism: sacred texts
Hunter O'Hara,Transcendent Teacher Learner Relationships,2021,Philosophy & theory of education
Stefan Pabst; Stefan Pabst,Das theologische Profil des Julian von Toledo,2021,Religion & beliefs
Shalen Lowell,Gender Optics,2021,Education
Anne Bloemacher; Anne Bloemacher; Mandy Richter; Mandy Richter; Marzia Faietti; Marzia Faietti (Editors),"Sculpture in Print, 1480–1600",2021,History of art & design styles: c 1400 to c 1600
Terressa A. Benz; Terressa A. Benz; Graham Cassano; Graham Cassano (Volume Editors),Urban Emergency (Mis)Management and the Crisis of Neoliberalism,2021,Politics & government
Joaquín Gairín; David Rodríguez-Gómez; Fabio Dovigo (Volume Editors),The Social Dimension of Higher Education in Europe,2021,Education
Jack Visnjic; Jack Visnjic,The Invention of Duty: Stoicism as Deontology,2021,"Western philosophy: Ancient, to c 500"
John Osogo Ambani,Africa and the Decolonisation of State-Religion Policies,2021,International human rights law
Jacque Lynn Foltyn; Laura Petican (Volume Editors),"In Fashion: Culture, Commerce, Craft, and Identity",2021,Cultural studies
Bronwyn Davies,New Lives in an Old Land,2021,General & world history
María Pilar García Ruiz; María Pilar García Ruiz; Alberto J. Quiroga Puertas; Alberto J. Quiroga Puertas (Editors),Emperors and Emperorship in Late Antiquity,2021,Classical history / classical civilisation
Patricia Leavy,Twinkle,2021,Education
Alexander Samuel Wilkinson (Volume Editor),"Illustration and Ornamentation in the Iberian Book World, 1450-1800",2022,Early modern history: c 1450/1500 to c 1700
Paul David Buell; Eugene N. Anderson,Arabic Medicine in China,2021,Asian history
Samuel Adams; Greg Schmidt Goering; Matthew J. Goff (Volume Editors),Sirach and Its Contexts,2021,Judaism
Carme López Calderón; Carme López Calderón,Applied Emblems in the Cathedral of Lugo,2021,Art & design styles: Baroque
Michael J. Stahl; Michael J. Stahl,The “God of Israel” in History and Tradition,2021,Old Testaments
Reyes Peña Santiago,"Morphology and Bionomics of Dorylaims (Nematoda, Dorylaimida)",2021,Zoology: Invertebrates
Andrea Komlosy; Goran Musi? (Volume Editors),Global Commodity Chains and Labor Relations,2021,Social & cultural history
Rita Banerjee; Rita Banerjee,India in Early Modern English Travel Writings,2021,Travel writing
John Kupchik; José Andrés Alonso de la Fuente; Marc Hideo Miyake (Volume Editors),"Studies in Asian Historical Linguistics, Philology and Beyond",2021,Historical & comparative linguistics
David Salomoni,Educating the Catholic People,2021,History of education
Thom Gobbitt (Volume Editor),Law | Book | Culture in the Middle Ages,2021,History
Nina Lamal; Jamie Cumby; Helmer J. Helmers (Editors),Print and Power in Early Modern Europe (1500–1800),2021,Early modern history: c 1450/1500 to c 1700
Thierry Kouamé; Thierry Kouamé,De l’office à la dignité,2021,History
Mauro Antonelli; Mauro Antonelli; Thomas Binder; Thomas Binder (Volume Editors),The Philosophy of Brentano,2021,Philosophy: epistemology & theory of knowledge
Klaus Beekman (Volume Editor),Institution & Innovation,1994,History of art / art & design styles
Klaus Beekman; Klaus Beekman; Ralf Grüttemeier; Ralf Grüttemeier (Volume Editors),Instrument Zitat,2000,Interdisciplinary studies
John Hope Morey (Author); Gene M. Moore (Volume Editor),Joseph Conrad and Ford Madox Ford,2021,Literature: history & criticism
Alexander Vovin,The Footprints of the Buddha,2021,Historical & comparative linguistics
Firew Girma Worku,A Grammar of Mursi,2021,Usage & grammar guides
Henryk Grossman (Author); Rick Kuhn (Volume Editor),"Henryk Grossman Works, Volume 3",2021,Marxism & Communism
Brian Lawn,The Rise and Decline of the Scholastic Quaestio Disputata,1993,European history
Aafke M.I. van Oppenraay (Volume Editor),"De Animalibus. Michael Scot's Arabic-Latin Translation, Volume 2 Books XI-XIV: Parts of Animals",1998,Islam
Barry Mesch,"Studies in Joseph ibn Caspi, Fourteenth-Century Philosopher and Exegete",1975,Judaism
Wilfried van Damme,Beauty in Context,1996,European history
Wu,On Chinese Body Thinking,1997,European history
Paul Lettinck,Aristotle's Physics and its Reception in the Arabic World,1994,"Western philosophy: Ancient, to c 500"
Simon P. Loynes,Revelation in the Qur’an,2021,Islamic studies
Peder Borgen; Kåre Sigvald Fuglseth; Skarsten,The Philo Index,2000,Biblical studies & exegesis
Theodor Köhler,Grundlagen des philosophisch-anthropologischen Diskurses im dreizehnten Jahrhundert,2000,"Western philosophy: Medieval & Renaissance, c 500 to c 1600"
Sabine Schmidtke,"Theologie, Philosophie und Mystik im zwölferschiitischen Islam des 9./15. Jahrhunderts",2000,Islamic & Arabic philosophy
Pasquale Porro (Volume Editor),The Medieval Concept of Time,2001,"Western philosophy: Medieval & Renaissance, c 500 to c 1600"
Dominik Perler (Volume Editor),Ancient and Medieval Theories of Intentionality,2001,"Western philosophy: Medieval & Renaissance, c 500 to c 1600"
Samuel-Martin Behloul,Ibn h?azm's Evangelienkritik,2002,Islamic & Arabic philosophy
"Steven Broecke, vanden",The Limits of Influence,2003,European history
Oliver Gutman; Oliver Gutman,Pseudo-Avicenna. Liber Celi et Mundi,2003,"Western philosophy: Ancient, to c 500"
James D. Dvorak,The Interpersonal Metafunction in 1 Corinthians 1–4,2021,Biblical commentaries
R. Suwandi; R. Suwandi,A Quest for Justice,2000,Anthropology
Gerard Giordano,Twentieth Century Reading Education: Understanding Practices of Today in Terms of Patterns of the Past,2000,Education
Rajindra K. Puri; Rajindra K. Puri,Deadly Dances in the Bornean Rainforest,2006,Anthropology
H. Knapen; H. Knapen,Forests of Fortune?,2001,Regional & national history
H. ten Brummelhuis; H. ten Brummelhuis,King of the Waters,2005,Regional & national history
P. Boomgaard; P. Boomgaard; David E.F. Henley; David E.F. Henley (Editors),Muddied Waters,2006,Regional & national history
G. Reesink; G. Reesink,"One Head, Many Faces",2004,Anthropology
H.M.J. Maier; H.M.J. Maier,We are Playing Relatives,2004,Literary studies: general
David A. Wells,"The Central Franconian Rhyming Bible (""Mittelfränkische Reimbibel"")",2004,Historical & comparative linguistics
Richard Todd (Volume Editor),"Theme Parks, Rainforests and Sprouting Wastelands",2000,Literary studies: general
Wypkje Helleman-Elgersma,Soul-Sisters,1980,"Western philosophy: Ancient, to c 500"
Dieter Lang,Wertung und Erkenntnis,1981,Ethics & moral philosophy
Martin Oesch,Das Handlungsproblem,1981,Western philosophy: c 1600 to c 1900
J.G. van der Bend (Volume Editor),"Hobbes, Thomas: His View of Man",1982,Philosophy
Franz Träger,Herbarts Realistisches Denken,1982,Western philosophy: c 1600 to c 1900
Kurt Mager,Philosophie als Funktion,1982,Philosophy: epistemology & theory of knowledge
Max Scheler,Logik I,1975,Philosophy: logic
Alois Dempf,Metaphysik,1986,Philosophy: metaphysics & ontology
Carl Joachim Classen,Ansätze,1986,"Western philosophy: Ancient, to c 500"
Rudolph Berlinger,Die Weltnatur des Menschen,1988,Philosophy
Johann-Heinrich Königshausen,Kants Theorie des Denkens,1977,Western philosophy: c 1600 to c 1900
Nicole Stratmann,Leiden – im Lichte einer existenzialontologischen Kategorialanalyse,1994,Philosophy
In-Cheol Park; In-Cheol Park,Die Wissenschaft von der Lebenswelt,2001,"Western philosophy, from c 1900 -"
Jean-François Kosta-Théfaine (Volume Editor),« Ut philosophia poesis »,2001,Cultural studies
Helmut Girndt; Helmut Girndt; Klaus Hammacher; Klaus Hammacher (Volume Editors),Fichte und die Literatur,2002,Western philosophy: c 1600 to c 1900
Helmut Girndt; Helmut Girndt (Volume Editors),Zur Wissenschaftslehre,2003,Western philosophy: c 1600 to c 1900
Flavio A. Geisshuesler,The Life and Work of Ernesto De Martino,2021,History of religion
Elize Mazadiego; Elize Mazadiego,Dematerialization and the Social Materiality of Art,2021,The arts: general issues
Josef Novák (Volume Editor),On Masaryk,1988,"Western philosophy, from c 1900 -"
Werner Sauer,Österreichische Philosophie zwischen Aufklärung und Restauration,1982,History of Western philosophy
Thomas Binder; Thomas Binder; Reinhard Fabian; Reinhard Fabian; Ulf Höfer; Ulf Höfer; Jutta Valent; Jutta Valent (Volume Editors),Bausteine zur Geschichte der Philosophie an der Universität Graz,2001,History of Western philosophy
Vittorio Benussi; Vittorio Benussi (Authors); Mauro Antonelli; Mauro Antonelli (Editors),"Psychologische Schriften, Band 2",2002,"Western philosophy, from c 1900 -"
Friedrich Waismann,Lectures on the Philosophy of Mathematics,1982,Analytical philosophy & Logical Positivism
Iván Nyusztay,"Myth, Telos, Identity",2002,Literary studies: general
Nancy Nyquist Potter (Volume Editor),Putting Peace into Practice,2004,Social & political philosophy
Ayang Utriza Yakin; Louis-Léon Christians (Volume Editors),Rethinking Halal,2021,Islamic studies
Abdulrahman al-Salimi (Volume Editor),Early Ibadi Theology: New Material on Rational Thought in Islam from the Pen of al-Faz?r? (2nd/8th Century),2021,Middle Eastern history
Gabriella Gelardini; Gabriella Gelardini,Deciphering the Worlds of Hebrews,2021,New Testaments
Touraj Daryaee (Volume Editor),King of the Seven Climes,2017,Middle Eastern history
Touraj Daryaee (Volume Editor),Sasanian Iran in the Context of Late Antiquity,2018,Middle Eastern history
Shervin Farridnejad (Volume Editor),zara?uštr?t?ma,2020,Middle Eastern history
James R. Russell,"Poets, Heroes, and their Dragons (2 vols)",2020,Middle Eastern history
Bethany Somma,Models of Desire in Graeco-Arabic Philosophy,2021,Islamic & Arabic philosophy
Peter Bisschop; Yuko Yokochi,The Skandapur??a Volume V,2021,Hinduism
Christina G. Williamson; Christina G. Williamson,Urban Rituals in Sacred Landscapes in Hellenistic Asia Minor,2021,Ancient Greek religion & mythology
Joanna Pares Hoare,"Gender, Activism, and International Development Intervention in Kyrgyzstan",2021,Asian history
Jakub Wysmu?ek,"History of Wills, Testators and Their Families in Late Medieval Krakow",2021,General & world history
Rachel Calipha; Benjamin Gidron,The Evolution of the Israeli Third Sector,2021,Society & culture: general
Susan Broomhall; Susan Broomhall,The Identities of Catherine de' Medici,2021,Early modern history: c 1450/1500 to c 1700
Denise Mifsud; Paolo Landri (Volume Editors),Enacting and Conceptualizing Educational Leadership within the Mediterranean Region,2021,School governors & school boards
Ruth Kara-Ivanov Kaniel,The Feminine Messiah,2021,Judaism: mysticism
Gerrit Bos,"Maimonides, Medical Aphorisms: Glossary & Indexes",2021,Middle Eastern history
Greg Albo; Greg Albo; Stephen Maher; Stephen Maher; Alan Zuege; Alan Zuege (Volume Editors),"State Transformations: Classes, Strategy, Socialism",2021,Sociology
Kathrin Strobel,Organized Crime and International Criminal Law,2021,Criminal law & procedure
D.W. Livingstone; Tracey L. Adams; Peter Sawchuk,Professional Power and Skill Use in the 'Knowledge Economy',2021,"Adult education, continuous learning"
Pirjo Kristiina Virtanen; Pigga Keskitalo; Torjer Olsen (Volume Editors),Indigenous Research Methodologies in Sámi and Global Contexts,2021,Education
Nian Cai Liu; Yan Wu; Qi Wang (Volume Editors),World-Class Universities,2021,Universities
Vevian Zaki,The Pauline Epistles in Arabic,2021,Interfaith relations
Beatrice Radden Keefe,The Illustrated Afterlife of Terence’s Comedies (800–1200),2021,Medieval history
Sandra Dinter; Sandra Dinter; Johanna Marquardt; Johanna Marquardt (Volume Editors),Nationalism and the Postcolonial,2021,Literary studies: post-colonial literature
Romolo Cegna; Romolo Cegna; Christoph Galle; Christoph Galle; Wolf-Friedrich Schäufele; Wolf-Friedrich Schäufele,Opus arduum valde,2021,Biblical commentaries
Romolo Cegna; Romolo Cegna; Christoph Galle; Christoph Galle; Wolf-Friedrich Schäufele; Wolf-Friedrich Schäufele,Opus arduum valde,2021,Biblical commentaries
Brandon Dotson; Constance A. Cook; Zhao Lu,Dice and Gods on the Silk Road,2021,Fortune-telling & divination
Dominique Bauer; Randall C.H. Lesaffer (Volume Editors),"History, Casuistry and Custom in the Legal Thought of Francisco Suárez (1548-1617)",2021,Legal history
Giovanni Tarantino; Paola von Wyss-Giacosa (Volume Editors),Through Your Eyes: Religious Alterity and the Early Modern Western Imagination,2021,Comparative religion
Elina Kuusisto; Martin Ubani; Petri Nokelainen; Auli Toom (Volume Editors),Good Teachers for Tomorrow's Schools,2021,Moral & social purpose of education
Annette G. Aubert; Annette G. Aubert; Zachary Purvis; Zachary Purvis (Volume Editors),Transatlantic Religion,2021,Church history
Riccarda Suitner; Riccarda Suitner,The Dialogues of the Dead of the Early German Enlightenment,2022,Church history
Piotr Mazurkiewicz; Michal Gierycz; Krzysztof Wielecki; Mariusz Sulkowski; Marcin Zarzecki,Totalitarianism in the Postmodern Age,2021,Globalization
Beverley Brenna; Richard Dionne; Theresa Tavares,Contemporary Canadian Picture Books,2021,Primary & middle schools
Chungman Lee; Chungman Lee,"Gregory of Nyssa, Augustine of Hippo, and the Filioque",2021,Christianity
Marco Faini; Paola Ugolini (Editors),A Companion to Pietro Aretino,2021,Literary studies: c 1500 to c 1800
Felipe Rojas; Felipe Rojas; Peter E. Thompson; Peter E. Thompson (Volume Editors),"Queering the Medieval Mediterranean: Transcultural Sea of Sex, Gender, Identity, and Culture",2021,History
George Dimitri Sawa,"??w? l-Fun?n wa-Salwat al-Ma?z?n, Encompasser of the Arts and Consoler of the Grief-Stricken by Ibn al-?a???n",2021,Middle Eastern history
Luca Moretti; Nikolaj Jang Lee Linding Pedersen (Volume Editors),Non-Evidentialist Epistemology,2021,Philosophy: epistemology & theory of knowledge
David Moya; Georgios Milios (Editors),Aliens before the European Court of Human Rights,2021,International human rights law
R. Hollis Gause,Hebrews,2022,Pentecostal Churches
Diana Gasparyan,The Philosophic Path of Merab Mamardashvili,2021,Social & political philosophy
Anthony Spalinger; Anthony Spalinger,The Books behind the Masks,2022,Military history
Samantha Besson,La due diligence en droit international,2021,International law
Rose Ann Torres; Rose Ann Torres; Kailan Leung; Kailan Leung; Vania Soepriatna; Vania Soepriatna (Volume Editors),Outside and In-Between: Theorizing Asian-Canadian Exclusion and the Challenges of Identity Formation,2021,Sociology & anthropology
Anna Mu?,The Political Potential of Upper Silesian Ethnoregionalist Movement,2022,Ethnic minorities & multicultural studies
Antonio Luis Costa Vargas; Antonio Luis Costa Vargas,Time’s Causal Power,2021,"Western philosophy: Ancient, to c 500"
Denis Gril; Stefan Reichmuth; Dilek Sarmis (Editors),The Presence of the Prophet in Early Modern and Contemporary Islam,2022,Islam
Timo Nisula; Anni Maria Laato; Pablo Irizar (Volume Editors),Religious Polemics and Encounters in Late Antiquity,2021,History of religion
JuliAnna Ávila (Volume Editor),Critical Digital Literacies: Boundary-Crossing Practices,2021,Education
Richard Faure,The Syntax and Semantics of Wh-Clauses in Classical Greek,2021,"Grammar, syntax"
Elena Cima,From Exception to Promotion,2021,International law
